Session,Game,Turns,Elapsed,Winners
20180425_125853,0,29,86,Player 1
20180425_125853,1,192,468,Player 2
20180425_125853,2,147,402,Player 1
20180425_125853,3,902,368,Player 2
20180425_125853,4,874,775,Player 2
20180425_125853,5,61,212,Player 1
20180425_125853,6,1000,878,
20180425_125853,7,1000,335,
20180425_125853,8,12,34,Player 2
20180425_125853,9,1000,742,
20180425_125853,10,879,756,Player 1
20180425_125853,11,1000,480,
20180425_125853,12,28,87,Player 2
20180425_125853,13,25,72,Player 1
20180425_125853,14,1000,831,
20180425_125853,15,738,70,Player 1
20180425_125853,16,70,201,Player 2
20180425_125853,17,501,943,Player 1
20180425_125853,18,1000,556,
20180425_125853,19,46,129,Player 2
20180425_125853,20,1000,264,
20180425_125853,21,498,91,Player 2
20180425_125853,22,1000,787,
20180425_125853,23,38,109,Player 2
20180425_125853,24,897,450,Player 1
20180425_125853,25,1000,625,
20180425_125853,26,226,518,Player 2
20180425_125853,27,928,508,Player 2
20180425_125853,28,39,109,Player 1
20180425_125853,29,1000,582,
20180425_125853,30,66,169,Player 2
20180425_125853,31,491,959,Player 1
20180425_125853,32,299,715,Player 1
20180425_125853,33,632,159,Player 2
20180425_125853,34,773,194,Player 1
20180425_125853,35,1000,427,
20180425_125853,36,1000,770,
20180425_125853,37,60,152,Player 2
20180425_125853,38,1000,77,
20180425_125853,39,482,99,Player 2
20180425_125853,40,1000,681,
20180425_125853,41,171,438,Player 1
20180425_125853,42,882,474,Player 2
20180425_125853,43,1000,32,
20180425_125853,44,655,949,Player 1
20180425_125853,45,27,80,Player 1
20180425_125853,46,14,44,Player 2
20180425_125853,47,1000,625,
20180425_125853,48,1000,608,
20180425_125853,49,34,88,Player 2
20180425_125853,50,434,825,Player 2
20180425_125853,51,73,192,Player 1
20180425_125853,52,127,325,Player 1
20180425_125853,53,1000,691,
20180425_125853,54,1000,689,
20180425_125853,55,1000,131,
20180425_125853,56,1000,746,
20180425_125853,57,1000,483,
20180425_125853,58,793,91,Player 1
20180425_125853,59,3,10,Player 1
20180425_125853,60,3,14,Player 1
20180425_125853,61,72,179,Player 2
20180425_125853,62,851,312,Player 1
20180425_125853,63,175,413,Player 1
20180425_125853,64,74,201,Player 2
20180425_125853,65,8,21,Player 2
20180425_125853,66,323,786,Player 1
20180425_125853,67,138,347,Player 2
20180425_125853,68,1000,578,
20180425_125853,69,601,186,Player 1
20180425_125853,70,240,573,Player 2
20180425_125853,71,1000,397,
20180425_125853,72,1000,644,
20180425_125853,73,353,798,Player 1
20180425_125853,74,374,775,Player 2
20180425_125853,75,146,386,Player 2
20180425_125853,76,157,412,Player 1
20180425_125853,77,833,287,Player 1
20180425_125853,78,209,465,Player 1
20180425_125853,79,19,58,Player 1
20180425_125853,80,1000,779,
20180425_125853,81,241,536,Player 1
20180425_125853,82,1000,503,
20180425_125853,83,253,611,Player 1
20180425_125853,84,1000,379,
20180425_125853,85,122,286,Player 2
20180425_125853,86,199,449,Player 1
20180425_125853,87,302,656,Player 2
20180425_125853,88,6,18,Player 2
20180425_125853,89,705,509,Player 1
20180425_125853,90,38,99,Player 2
20180425_125853,91,974,419,Player 2
20180425_125853,92,117,315,Player 1
20180425_125853,93,182,424,Player 2
20180425_125853,94,648,356,Player 2
20180425_125853,95,1000,532,
20180425_125853,96,932,405,Player 2
20180425_125853,97,1000,430,
20180425_125853,98,1000,188,
20180425_125853,99,135,321,Player 1
20180425_125853,100,1000,634,
20180425_125853,101,1000,139,
20180425_125853,102,44,110,Player 2
20180425_125853,103,132,319,Player 2
20180425_125853,104,94,251,Player 2
20180425_125853,105,284,558,Player 2
20180425_125853,106,72,185,Player 2
20180425_125853,107,1000,779,
20180425_125853,108,1000,258,
20180425_125853,109,11,35,Player 1
20180425_125853,110,1000,815,
20180425_125853,111,224,479,Player 2
20180425_125853,112,864,523,Player 1
20180425_125853,113,128,293,Player 2
20180425_125853,114,851,288,Player 1
20180425_125853,115,79,212,Player 1
20180425_125853,116,173,445,Player 1
20180425_125853,117,734,85,Player 1
20180425_125853,118,847,319,Player 1
20180425_125853,119,34,93,Player 2
20180425_125853,120,337,837,Player 1
20180425_125853,121,1000,501,
20180425_125853,122,224,580,Player 2
20180425_125853,123,1000,545,
20180425_125853,124,1000,764,
20180425_125853,125,732,375,Player 2
20180425_125853,126,63,184,Player 1
20180425_125853,127,1000,62,
20180425_125853,128,972,712,Player 2
20180425_125853,129,1000,436,
20180425_125853,130,227,491,Player 1
20180425_125853,131,64,172,Player 2
20180425_125853,132,661,221,Player 1
20180425_125853,133,18,45,Player 2
20180425_125853,134,1000,711,
20180425_125853,135,65,188,Player 1
20180425_125853,136,1000,494,
20180425_125853,137,654,205,Player 2
20180425_125853,138,436,23,Player 2
20180425_125853,139,551,967,Player 1
20180425_125853,140,1000,642,
20180425_125853,141,115,316,Player 1
20180425_125853,142,430,879,Player 2
20180425_125853,143,756,228,Player 1
20180425_125853,144,801,266,Player 1
20180425_125853,145,9,35,Player 1
20180425_125853,146,1000,841,
20180425_125853,147,1000,402,
20180425_125853,148,296,576,Player 2
20180425_125853,149,751,411,Player 1
20180425_125853,150,1000,176,
20180425_125853,151,317,694,Player 1
20180425_125853,152,513,9,Player 1
20180425_125853,153,577,92,Player 1
20180425_125853,154,1000,660,
20180425_125853,155,315,672,Player 1
20180425_125853,156,126,289,Player 2
20180425_125853,157,1000,719,
20180425_125853,158,1000,752,
